Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Thornsberry, Jeffry M; Goodman, Major M; Doebley, John; Kresovich, Stephen; Nielsen, Dahlia; Buckler, Edward S; ",Dwarf8 polymorphisms associate with variation in flowering time,Nature genetics,28,3,286-289,2001,Nature Publishing Group
"Remington, David L; Thornsberry, Jeffry M; Matsuoka, Yoshihiro; Wilson, Larissa M; Whitt, Sherry R; Doebley, John; Kresovich, Stephen; Goodman, Major M; Buckler IV, Edward S; ",Structure of linkage disequilibrium and phenotypic associations in the maize genome,Proceedings of the national academy of sciences,98,20,11479-11484,2001,The National Academy of Sciences
"Yu, Jianming; Pressoir, Gael; Briggs, William H; Bi, Irie Vroh; Yamasaki, Masanori; Doebley, John F; McMullen, Michael D; Gaut, Brandon S; Nielsen, Dahlia M; Holland, James B; ",A unified mixed-model method for association mapping that accounts for multiple levels of relatedness,Nature genetics,38,2,203-208,2006,Nature Publishing Group
"Matsuoka, Yoshihiro; Vigouroux, Yves; Goodman, Major M; Sanchez G, Jesus; Buckler, Edward; Doebley, John; ",A single domestication for maize shown by multilocus microsatellite genotyping,Proceedings of the National Academy of Sciences,99,9,6080-6084,2002,The National Academy of Sciences
"Bradbury, Peter J; Zhang, Zhiwu; Kroon, Dallas E; Casstevens, Terry M; Ramdoss, Yogesh; Buckler, Edward S; ",TASSEL: software for association mapping of complex traits in diverse samples,Bioinformatics,23,19,2633-2635,2007,Oxford University Press
"Buckler IV, Edward S; Thornsberry, Jeffry M; ",Plant molecular diversity and applications to genomics,Current opinion in plant biology,5,2,107-111,2002,Elsevier Current Trends
"Whitt, Sherry R; Wilson, Larissa M; Tenaillon, Maud I; Gaut, Brandon S; Buckler IV, Edward S; ",Genetic diversity and selection in the maize starch pathway,Proceedings of the National Academy of Sciences,99,20,12959-12962,2002,The National Academy of Sciences
"Yu, Jianming; Buckler, Edward S; ",Genetic association mapping and genome organization of maize,Current opinion in biotechnology,17,2,155-160,2006,Elsevier Current Trends
"Buckler 4th, ES; Holtsford, Timothy P; ",Zea systematics: ribosomal ITS evidence.,Molecular Biology and Evolution,13,4,612-622,1996,
"Buckler, Edward S; Holland, James B; Bradbury, Peter J; Acharya, Charlotte B; Brown, Patrick J; Browne, Chris; Ersoz, Elhan; Flint-Garcia, Sherry; Garcia, Arturo; Glaubitz, Jeffrey C; ",The genetic architecture of maize flowering time,Science,325,5941,714-718,2009,American Association for the Advancement of Science
"Flint‐Garcia, Sherry A; Thuillet, Anne‐Céline; Yu, Jianming; Pressoir, Gael; Romero, Susan M; Mitchell, Sharon E; Doebley, John; Kresovich, Stephen; Goodman, Major M; Buckler, Edward S; ",Maize association population: a high‐resolution platform for quantitative trait locus dissection,The plant journal,44,6,1054-1064,2005,"Blackwell Science Ltd Oxford, UK"
"Yu, Jianming; Holland, James B; McMullen, Michael D; Buckler, Edward S; ",Genetic design and statistical power of nested association mapping in maize,Genetics,178,1,539-551,2008,Oxford University Press
"Harjes, Carlos E; Rocheford, Torbert R; Bai, Ling; Brutnell, Thomas P; Kandianis, Catherine Bermudez; Sowinski, Stephen G; Stapleton, Ann E; Vallabhaneni, Ratnakar; Williams, Mark; Wurtzel, Eleanore T; ",Natural genetic variation in lycopene epsilon cyclase tapped for maize biofortification,Science,319,5861,330-333,2008,American Association for the Advancement of Science
"McMullen, Michael D; Kresovich, Stephen; Villeda, Hector Sanchez; Bradbury, Peter; Li, Huihui; Sun, Qi; Flint-Garcia, Sherry; Thornsberry, Jeffry; Acharya, Charlotte; Bottoms, Christopher; ",Genetic properties of the maize nested association mapping population,Science,325,5941,737-740,2009,American Association for the Advancement of Science
"Buckler, Edward S; Thornsberry, Jeffry M; Kresovich, Stephen; ","Molecular diversity, structure and domestication of grasses",Genetics research,77,3,213-218,2001,Cambridge University Press
"Jaiswal, Pankaj; Ni, Junjian; Yap, Immanuel; Ware, Doreen; Spooner, William; Youens-Clark, Ken; Ren, Liya; Liang, Chengzhi; Zhao, Wei; Ratnapu, Kiran; ",Gramene: a bird's eye view of cereal genomes,Nucleic acids research,34,suppl_1,D717-D723,2006,Oxford University Press
"Buckler, Edward S; Gaut, Brandon S; McMullen, Michael D; ",Molecular and functional diversity of maize,Current opinion in plant biology,9,2,172-176,2006,Elsevier Current Trends
"Liang, Chengzhi; Jaiswal, Pankaj; Hebbard, Claire; Avraham, Shuly; Buckler, Edward S; Casstevens, Terry; Hurwitz, Bonnie; McCouch, Susan; Ni, Junjian; Pujar, Anuradha; ",Gramene: a growing plant comparative genomics resource,Nucleic Acids Research,36,suppl_1,D947-D953,2007,Oxford University Press
"Buckler IV, Edward S; Phelps-Durr, Tara L; Buckler, Carlyn S Keith; Dawe, R Kelly; Doebley, John F; Holtsford, Timothy P; ",Meiotic drive of chromosomal knobs reshaped the maize genome,Genetics,153,1,415-426,1999,Oxford University Press
"Gore, Michael A; Chia, Jer-Ming; Elshire, Robert J; Sun, Qi; Ersoz, Elhan S; Hurwitz, Bonnie L; Peiffer, Jason A; McMullen, Michael D; Grills, George S; Ross-Ibarra, Jeffrey; ",A first-generation haplotype map of maize,Science,326,5956,1115-1117,2009,American Association for the Advancement of Science
"Myles, Sean; Peiffer, Jason; Brown, Patrick J; Ersoz, Elhan S; Zhang, Zhiwu; Costich, Denise E; Buckler, Edward S; ",Association mapping: critical considerations shift from genotyping to experimental design,The plant cell,21,8,2194-2202,2009,American Society of Plant Biologists
"Buckler 4th, ES; Holtsford, Timothy P; ",Zea ribosomal repeat evolution and substitution patterns.,Molecular Biology and Evolution,13,4,623-632,1996,
"Fukunaga, Kenji; Hill, Jason; Vigouroux, Yves; Matsuoka, Yoshihiro; Sanchez G, Jesus; Liu, Kejun; Buckler, Edward S; Doebley, John; ",Genetic diversity and population structure of teosinte,Genetics,169,4,2241-2254,2005,Oxford University Press
